Row_ID,Date_ID,Customer_ID,Product_ID,ship_ID,Category_ID,City_ID,Sales,Quantity,Discount,Profit
97,45,PN-18775,FUR-FU-10000629,1,1,21,96.53,7,0.0,40.5426
98,46,KD-16345,OFF-BI-10001721,3,2,9,51.312,3,0.2,17.9592
99,47,ER-13855,OFF-AP-10000358,2,2,34,77.88,6,0.0,22.5852
100,48,RB-19465,OFF-PA-10003256,2,2,23,64.624,7,0.2,22.6184
103,49,GZ-14470,OFF-PA-10004040,1,2,31,23.92,4,0.0,11.7208
104,50,LC-16870,TEC-AC-10001552,2,3,35,238.896,6,0.2,-26.8758
107,51,JM-15250,TEC-AC-10003499,2,3,36,74.112,8,0.2,17.6016
110,52,PA-19060,TEC-AC-10000844,2,3,37,339.96,5,0.2,67.992
111,53,CV-12805,FUR-FU-10001934,2,1,21,41.96,2,0.0,10.9096
112,54,CL-12565,OFF-AR-10000380,2,2,38,75.96,2,0.0,22.788
114,55,RC-19960,OFF-FA-10000621,1,2,39,40.096,14,0.2,14.5348
118,56,DK-13090,FUR-TA-10001768,2,1,5,787.53,3,0.0,165.3813
119,57,GG-14650,OFF-BI-10003650,2,2,40,157.794,1,0.7,-115.7156
120,1,SC-20725,FUR-FU-10002157,3,1,41,47.04,3,0.0,18.3456
125,58,AD-10180,FUR-CH-10004063,1,1,13,600.558,3,0.3,-8.5794
126,59,PF-19165,FUR-TA-10004534,2,1,42,617.7,6,0.5,-407.682
127,60,TS-21610,OFF-BI-10003274,2,2,43,2.388,2,0.7,-1.8308
129,61,LS-16975,FUR-CH-10001146,1,1,2,81.424,2,0.2,-9.1602
131,62,DW-13585,TEC-PH-10002293,3,3,39,59.97,5,0.4,-11.994
134,63,LC-16885,OFF-PA-10001804,2,2,44,20.04,3,0.0,9.6192
141,64,JD-15895,FUR-FU-10004848,1,1,11,82.8,2,0.2,10.35
142,65,SH-19975,OFF-AR-10000940,2,2,9,8.82,3,0.0,2.3814
145,66,SG-20080,OFF-AP-10001058,2,2,45,839.43,3,0.0,218.2518
146,67,HA-14920,OFF-ST-10003656,2,2,46,671.93,7,0.0,20.1579
147,68,MG-17680,FUR-FU-10000521,2,1,47,93.888,4,0.2,12.9096
148,5,JE-16165,TEC-PH-10000215,2,3,48,384.45,11,0.0,103.8015
152,69,TW-21025,OFF-AP-10000326,3,2,49,157.92,5,0.2,17.766
154,70,SP-20650,OFF-PA-10001950,3,2,50,58.38,7,0.0,26.271
157,71,NK-18490,OFF-AR-10001547,2,2,5,6.63,3,0.0,1.7901
158,72,DB-13060,FUR-CH-10004063,1,1,5,457.568,2,0.2,51.4764
159,73,NP-18670,OFF-LA-10002475,2,2,51,14.62,2,0.0,6.8714
161,74,TT-21070,OFF-PA-10002751,3,2,2,5.98,1,0.0,2.691
162,75,EM-13960,TEC-AC-10003657,1,3,11,54.384,2,0.2,1.3596
163,76,RD-19900,OFF-EN-10001990,2,2,52,28.4,5,0.0,13.348
164,77,MJ-17740,OFF-BI-10004002,2,2,5,27.68,2,0.2,9.688
165,78,BM-11140,OFF-AR-10004441,2,2,53,9.936,3,0.2,2.7324
172,79,CS-12130,OFF-PA-10000659,2,2,2,20.94,3,0.0,9.8418
175,80,JB-15400,OFF-AP-10000891,2,2,23,52.448,2,0.8,-131.12
177,81,SJ-20500,OFF-AP-10002684,1,2,13,97.264,4,0.8,-243.16
178,82,JE-15745,FUR-CH-10004698,1,1,47,396.802,7,0.3,-11.3372
180,83,JK-15640,OFF-AR-10001940,2,2,21,3.28,1,0.0,1.4104
181,29,DK-13150,OFF-ST-10003455,1,2,28,24.816,2,0.2,1.8612
183,84,RM-19675,TEC-PH-10003273,1,3,54,503.96,4,0.0,131.0296
186,85,SK-19990,OFF-BI-10001890,2,2,55,7.16,2,0.0,3.4368
187,86,FM-14290,TEC-AC-10002323,2,3,2,176.8,8,0.0,22.984
188,87,AM-10360,OFF-ST-10001328,2,2,56,37.224,3,0.2,3.7224
190,88,MP-17470,FUR-BO-10002613,3,1,21,899.136,4,0.2,112.392
195,89,MZ-17515,OFF-EN-10001509,2,2,57,14.28,7,0.0,6.7116
196,90,CB-12025,OFF-AR-10004685,2,2,58,7.408,2,0.2,1.2038
198,44,VM-21685,OFF-ST-10001414,2,2,59,46.26,3,0.0,12.0276
199,91,FH-14365,OFF-BI-10000343,2,2,11,2.946,2,0.7,-2.2586
201,92,MB-17305,OFF-PA-10002666,2,2,60,21.744,3,0.2,6.795
202,93,BS-11755,FUR-TA-10004289,3,1,61,218.75,2,0.5,-161.875
204,94,LC-17140,OFF-AP-10003217,1,2,62,66.284,2,0.8,-178.9668
205,95,HK-14890,FUR-FU-10002960,2,1,48,35.168,7,0.2,9.6712
206,34,LE-16810,TEC-PH-10001918,2,3,63,444.768,4,0.2,44.4768
207,96,JH-15985,OFF-ST-10000642,2,2,64,83.92,4,0.0,5.8744
212,97,MS-17980,TEC-AC-10001266,1,3,62,20.8,2,0.2,6.5
213,98,VW-21775,OFF-LA-10004544,2,2,65,23.68,2,0.2,8.88
218,99,JH-15910,OFF-ST-10001328,2,2,2,93.06,6,0.0,26.0568
220,100,JB-15925,OFF-FA-10000585,3,2,66,5.584,2,0.2,1.8148
226,101,DS-13180,OFF-AR-10001026,2,2,67,2.2,1,0.0,0.968
229,102,VD-21670,FUR-CH-10004860,2,1,30,161.568,2,0.2,-28.2744
231,103,EA-14035,OFF-BI-10001679,2,2,36,18.648,7,0.7,-12.432
232,104,CS-12400,FUR-TA-10001705,2,1,68,233.86,2,0.45,-102.048
237,105,DB-13120,OFF-PA-10002479,2,2,69,10.56,2,0.0,4.752
238,30,KL-16645,OFF-PA-10003349,1,2,23,25.92,5,0.2,9.396
245,106,DW-13480,FUR-CH-10004063,1,1,70,2001.86,7,0.0,580.5394
250,107,LH-17155,FUR-CH-10002965,1,1,9,321.568,2,0.2,28.1372
251,108,KC-16540,OFF-PA-10004569,2,2,71,7.61,1,0.0,3.5767
253,107,DL-13315,OFF-ST-10001228,3,2,21,80.58,6,0.0,22.5624
255,109,DR-12880,FUR-FU-10002505,2,1,23,12.132,9,0.6,-8.4924
259,96,CC-12670,TEC-AC-10000290,1,3,21,20.37,3,0.0,6.9258
262,110,Dl-13600,OFF-AP-10002203,2,2,46,1.624,2,0.8,-4.466
263,111,SB-20290,TEC-MA-10000822,1,3,13,3059.982,3,0.4,-509.997
265,112,RC-19825,TEC-PH-10001433,2,3,23,328.224,4,0.2,28.7196
266,113,AH-10210,TEC-AC-10004469,2,3,72,79.9,2,0.0,35.156
267,114,CB-12535,OFF-AR-10003602,2,2,73,14.016,3,0.2,4.7304
268,115,PG-18895,OFF-FA-10003472,2,2,74,7.56,6,0.0,0.3024
269,34,CA-12310,OFF-ST-10004180,2,2,75,37.208,1,0.2,-7.4416
271,116,KH-16690,OFF-ST-10003208,1,2,9,725.84,4,0.0,210.4936
272,117,HA-14920,TEC-AC-10003628,3,3,9,209.93,7,0.0,92.3692
275,118,BB-10990,OFF-PA-10002615,3,2,76,8.82,2,0.0,4.0572
277,119,AG-10495,OFF-PA-10000673,2,2,11,11.648,2,0.2,4.0768
281,120,SC-20725,OFF-BI-10004967,1,2,13,2.08,5,0.8,-3.432
283,121,JO-15280,FUR-TA-10002903,2,1,2,1038.84,5,0.2,51.942
284,120,TB-21520,OFF-PA-10000474,2,2,33,141.76,5,0.2,47.844
287,122,AH-10195,OFF-BI-10000778,1,2,77,254.058,7,0.7,-169.372
290,73,NZ-18565,OFF-FA-10002983,1,2,39,19.096,7,0.2,6.6836
294,58,KL-16555,FUR-FU-10004091,3,1,78,300.416,8,0.2,78.8592
299,99,JD-15895,OFF-PA-10002105,2,2,79,32.4,5,0.0,15.552
304,123,JH-15910,FUR-TA-10002533,2,1,23,219.075,3,0.5,-131.445
305,124,AS-10225,FUR-FU-10002671,1,1,21,26.8,2,0.0,12.864
306,125,KB-16600,OFF-AR-10003651,2,2,80,9.84,3,0.0,2.8536
307,106,CR-12625,OFF-BI-10001072,2,2,81,45.48,3,0.0,20.9208
309,4,SH-20395,OFF-AR-10002804,3,2,82,4.89,1,0.0,2.0049
310,126,BP-11185,FUR-FU-10001918,1,1,83,15.136,4,0.2,3.5948
314,127,TS-21205,FUR-FU-10001588,2,1,84,87.54,3,0.0,37.6422
315,128,AG-10525,TEC-PH-10002398,2,3,85,178.384,2,0.2,22.298
317,129,SP-20860,OFF-AR-10003373,3,2,11,99.136,4,0.2,8.6744
318,130,NM-18445,FUR-CH-10002602,2,1,21,135.882,1,0.1,24.1568
323,111,FA-14230,OFF-FA-10000624,2,2,86,7.16,2,0.0,3.58
324,131,GK-14620,OFF-BI-10004593,2,2,87,251.52,6,0.2,81.744
326,132,DJ-13510,FUR-FU-10001967,1,1,88,15.992,1,0.2,0.9995
327,133,PO-18850,TEC-PH-10003645,3,3,11,290.898,3,0.4,-67.8762
332,134,JL-15850,TEC-PH-10004614,1,3,11,82.8,2,0.4,-20.7
335,135,DB-13615,OFF-BI-10001922,1,2,2,4.752,1,0.2,1.6038
338,136,AC-10420,OFF-BI-10003314,2,2,9,7.712,2,0.2,2.7956
340,137,KL-16645,OFF-FA-10000490,1,2,89,4.96,4,0.0,2.3312
341,138,JD-15895,OFF-AR-10000122,1,2,11,17.856,4,0.2,1.116
345,139,CS-12130,OFF-ST-10000107,2,2,90,88.8,4,0.2,-2.22
346,140,CC-12550,TEC-PH-10002293,2,3,9,47.976,3,0.2,4.7976
347,141,TD-20995,OFF-AR-10004027,2,2,91,7.56,3,0.0,3.0996
350,142,AB-10060,TEC-AC-10000290,3,3,21,6.79,1,0.0,2.3086
355,143,JL-15505,FUR-BO-10002268,2,1,21,388.704,6,0.2,-4.8588
359,131,HK-14890,OFF-PA-10002666,2,2,36,36.24,5,0.2,11.325
360,144,VB-21745,OFF-AP-10001124,3,2,39,647.84,8,0.0,168.4384
362,145,KW-16435,OFF-LA-10001158,2,2,21,20.7,2,0.0,9.936
366,146,JD-16060,OFF-ST-10001713,2,2,9,211.96,4,0.0,8.4784
367,147,MK-17905,OFF-BI-10002412,4,2,92,23.2,4,0.0,10.44
371,148,GT-14755,OFF-PA-10002036,2,2,93,25.92,5,0.2,9.396
373,149,AG-10900,OFF-BI-10001982,2,2,94,8.16,5,0.7,-5.712
377,150,MM-18280,OFF-PA-10003039,3,2,95,99.136,4,0.2,30.98
378,151,AR-10405,FUR-TA-10004915,2,1,48,1488.424,7,0.3,-297.6848
379,152,RA-19915,OFF-AP-10000696,2,2,13,8.652,3,0.8,-20.3322
382,99,AS-10285,OFF-PA-10004734,3,2,9,50.96,7,0.0,25.48
384,153,LA-16780,TEC-AC-10004708,1,3,80,41.9,2,0.0,8.799
385,154,DO-13435,FUR-TA-10000617,2,1,96,375.4575,3,0.45,-157.0095
387,155,DK-13225,TEC-MA-10001681,2,3,11,482.34,4,0.7,-337.638
389,156,NG-18430,OFF-AR-10004757,3,2,75,2.624,1,0.2,0.4264
390,157,MV-18190,OFF-BI-10000050,2,2,21,23.36,4,0.2,7.884
392,158,JG-15115,TEC-PH-10003012,1,3,97,246.384,2,0.2,27.7182
394,159,BP-11095,OFF-BI-10003982,1,2,98,12.462,3,0.8,-20.5623
395,160,VP-21730,OFF-BI-10004492,2,2,99,75.792,3,0.2,25.5798
396,161,SS-20140,OFF-ST-10000798,1,2,100,49.96,2,0.0,9.4924
398,89,HP-14815,OFF-SU-10002573,2,2,26,70.12,4,0.0,21.036
399,162,AG-10675,OFF-ST-10001580,1,2,13,35.952,3,0.2,3.5952
403,163,LF-17185,OFF-PA-10001947,3,2,101,9.568,2,0.2,3.4684
404,164,SP-20650,OFF-AR-10003478,2,2,41,39.072,6,0.2,9.768
405,165,RF-19840,OFF-AP-10004249,2,2,21,35.91,3,0.0,9.6957
406,166,KH-16510,TEC-AC-10000158,2,3,9,179.95,5,0.0,37.7895
415,132,KC-16675,OFF-PA-10000157,2,2,5,139.86,7,0.0,65.7342
417,92,CJ-12010,OFF-AR-10004344,2,2,102,95.92,8,0.0,25.8984
418,167,PB-19150,FUR-CH-10004886,2,1,2,383.8,5,0.2,38.38
419,44,VB-21745,OFF-PA-10003845,2,2,103,5.78,1,0.0,2.8322
420,168,SP-20860,OFF-AR-10001573,2,2,2,9.32,4,0.0,2.7028
422,169,JE-15745,TEC-AC-10004114,3,3,104,196.752,6,0.2,56.5662
423,15,MP-17965,FUR-FU-10004712,2,1,105,56.56,4,0.0,14.7056
425,170,NF-18385,FUR-CH-10000015,1,1,26,866.4,4,0.0,225.264
426,51,JM-15265,FUR-FU-10003347,1,1,106,28.4,2,0.0,11.076
428,171,SD-20485,TEC-MA-10000029,3,3,107,69.99,1,0.0,30.0957
429,172,KH-16630,OFF-AR-10000369,2,2,53,6.672,6,0.2,0.5004
430,173,RB-19795,OFF-BI-10004584,2,2,108,189.588,2,0.7,-145.3508
434,112,DB-13060,OFF-ST-10003306,3,2,91,714.3,5,0.0,207.147
435,174,MK-18160,OFF-BI-10000773,2,2,109,4.812,2,0.7,-3.6892
437,1,PO-19180,TEC-MA-10002937,1,3,23,1007.979,3,0.3,43.1991
439,175,BB-11545,OFF-PA-10002230,2,2,13,31.872,8,0.2,11.5536
440,176,CV-12805,FUR-CH-10003396,1,1,21,207.846,3,0.1,2.3094
441,64,PK-19075,FUR-FU-10000246,1,1,67,12.22,1,0.0,3.666
447,177,TB-21595,FUR-FU-10000206,1,1,39,2.91,1,0.0,1.3677
448,178,RB-19360,OFF-AR-10000588,1,2,110,59.52,3,0.0,15.4752
454,179,EB-13705,FUR-TA-10001539,2,1,60,284.364,2,0.4,-75.8304
456,180,KH-16630,TEC-AC-10001772,2,3,111,63.88,4,0.0,24.9132
457,181,SC-20095,FUR-CH-10000225,2,1,4,129.568,2,0.2,-24.294
458,182,NF-18385,FUR-CH-10002331,2,1,28,747.558,3,0.3,-96.1146
460,83,JH-15985,OFF-AP-10002472,2,2,5,103.92,4,0.0,36.372
463,183,TN-21040,FUR-FU-10000023,2,1,43,23.56,5,0.2,7.068
468,184,JS-15940,FUR-FU-10002918,2,1,112,254.744,7,0.6,-312.0614
469,185,DS-13180,FUR-BO-10002824,2,1,113,205.3328,2,0.32,-36.2352
470,186,CC-12670,OFF-BI-10002194,1,2,23,4.788,3,0.8,-7.9002
471,139,MH-17785,OFF-PA-10004071,2,2,114,55.48,1,0.0,26.6304
472,187,JP-15520,OFF-ST-10002743,1,2,9,340.92,3,0.0,3.4092
478,188,KH-16690,TEC-PH-10000149,2,3,2,95.76,6,0.2,7.182
479,189,JE-15475,FUR-FU-10002671,2,1,22,40.2,3,0.0,19.296
480,190,JG-15805,OFF-AR-10003045,2,2,21,14.7,5,0.0,6.615
482,191,XP-21865,TEC-AC-10001445,2,3,71,9.09,3,0.0,1.9089
483,192,EM-14065,OFF-AR-10002053,2,2,21,5.96,2,0.0,1.6688
485,193,MT-18070,OFF-LA-10003923,3,2,2,29.6,2,0.0,14.8
488,194,SA-20830,TEC-PH-10001363,3,3,23,2735.952,6,0.2,341.994
489,3,CW-11905,TEC-PH-10000376,1,3,115,7.992,1,0.2,0.5994
492,80,AJ-10960,OFF-ST-10001809,2,2,31,449.15,5,0.0,8.983
494,195,SS-20590,TEC-AC-10000991,2,3,5,93.98,2,0.0,13.1572
495,196,RO-19780,FUR-TA-10001857,1,1,27,189.882,3,0.4,-94.941
496,17,MD-17350,OFF-EN-10001434,2,2,116,105.42,2,0.0,51.6558
497,197,SC-20095,OFF-BI-10002498,2,2,117,119.616,8,0.2,40.3704
501,198,MY-17380,OFF-BI-10001670,2,2,118,22.62,2,0.7,-15.08
506,105,EB-13705,OFF-BI-10003274,1,2,21,15.92,5,0.2,5.373
507,199,CM-12385,OFF-AR-10001662,2,2,119,2.74,1,0.0,0.7398
511,200,LS-17245,FUR-FU-10001290,3,1,120,126.3,3,0.0,40.416
513,201,LF-17185,OFF-AR-10002053,3,2,47,7.152,3,0.2,0.7152
514,202,BN-11515,OFF-AR-10003811,2,2,2,6.63,3,0.0,1.7901
516,203,AD-10180,TEC-CO-10003236,2,3,121,2999.95,5,0.0,1379.977
520,204,DB-13210,TEC-AC-10000171,2,3,13,18.392,1,0.2,5.2877
523,205,MC-17605,FUR-TA-10001857,3,1,67,210.98,2,0.0,21.098
524,206,LH-17155,TEC-PH-10003555,3,3,2,55.176,3,0.2,-12.4146
526,207,BD-11605,OFF-FA-10002815,2,2,105,22.2,5,0.0,10.434
527,208,PH-18790,FUR-CH-10003379,2,1,122,683.952,3,0.2,42.747
529,37,MG-18145,OFF-ST-10004963,2,2,11,36.336,3,0.2,-7.2672
532,209,KB-16240,FUR-CH-10000595,1,1,2,190.72,1,0.2,11.92
533,210,JC-15340,FUR-FU-10000448,2,1,2,47.94,3,0.0,2.397
534,211,RL-19615,TEC-PH-10000984,1,3,123,979.95,5,0.0,274.386
536,212,AA-10375,OFF-ST-10001325,2,2,124,16.768,2,0.2,1.4672
537,213,EP-13915,OFF-BI-10002429,1,2,23,42.616,7,0.8,-68.1856
538,155,MP-17470,OFF-BI-10004528,2,2,21,10.752,4,0.2,3.36
539,214,DK-12985,OFF-AP-10001271,2,2,1,152.94,3,0.0,41.2938
541,215,BD-11500,TEC-AC-10001432,3,3,125,468.9,6,0.0,206.316
542,216,ES-14080,TEC-PH-10002262,3,3,94,380.864,8,0.2,38.0864
543,217,LM-17065,OFF-ST-10001809,2,2,25,646.776,9,0.2,-145.5246
544,218,PG-18895,TEC-AC-10001465,2,3,6,58.112,2,0.2,7.264
547,123,AS-10135,OFF-BI-10000404,3,2,21,41.28,6,0.2,13.932
549,219,DK-13225,OFF-ST-10000604,1,2,23,250.272,9,0.2,15.642
552,173,BD-11320,FUR-CH-10002024,1,1,9,1121.568,2,0.2,0.0
553,220,RC-19960,FUR-FU-10003039,3,1,109,34.504,1,0.2,6.0382
554,221,GT-14710,OFF-FA-10004248,2,2,13,10.824,3,0.2,2.5707
555,222,DK-13225,OFF-ST-10001780,1,2,126,1295.78,2,0.0,310.9872
556,223,AJ-10945,OFF-AR-10003560,1,2,41,19.456,4,0.2,3.4048
557,224,OT-18730,OFF-LA-10001297,2,2,2,20.7,2,0.0,9.936
560,225,LP-17080,FUR-FU-10003347,1,1,9,42.6,3,0.0,16.614
562,80,CA-12775,OFF-AP-10003914,1,2,68,13.0,5,0.2,1.3
564,214,JF-15490,OFF-FA-10003467,3,2,5,3.96,2,0.0,0.0
566,226,FP-14320,TEC-PH-10002496,3,3,2,374.376,3,0.2,46.797
567,172,EB-13840,OFF-PA-10004530,2,2,5,91.84,8,0.0,45.0016
571,116,JF-15415,OFF-LA-10001297,2,2,21,72.45,7,0.0,34.776
575,54,SF-20200,OFF-AR-10003394,2,2,127,8.82,3,0.0,2.3814
576,227,TG-21640,OFF-PA-10004530,1,2,86,160.72,14,0.0,78.7528
579,228,CS-11950,OFF-ST-10002974,2,2,23,69.712,2,0.2,8.714
581,229,CC-12145,OFF-SU-10004498,2,2,2,51.52,4,0.0,1.5456
582,96,DV-13465,TEC-PH-10004977,2,3,61,470.376,3,0.2,52.9173
587,230,BD-11725,FUR-CH-10003956,2,1,103,70.98,1,0.0,4.9686
589,231,ZC-21910,TEC-PH-10003800,2,3,128,84.784,2,0.2,-20.1362
593,232,MS-17830,OFF-AR-10004078,2,2,129,9.344,2,0.2,1.168
595,233,LR-16915,OFF-AP-10004708,2,2,71,76.12,2,0.0,22.0748
599,216,TP-21130,OFF-SU-10004115,3,2,11,11.632,2,0.2,1.0178
600,87,CK-12205,TEC-PH-10001425,2,3,11,143.982,3,0.4,-28.7964
603,234,AS-10240,OFF-ST-10001490,2,2,68,142.776,1,0.2,17.847
608,235,AR-10510,OFF-BI-10000848,2,2,11,3.282,2,0.7,-2.6256
611,236,NB-18655,TEC-PH-10003012,3,3,62,369.576,3,0.2,41.5773
613,108,GD-14590,OFF-PA-10001204,1,2,11,8.448,2,0.2,2.64
615,237,CK-12595,TEC-PH-10000011,1,3,130,119.94,10,0.4,15.992
617,238,NG-18355,FUR-FU-10003849,1,1,21,40.48,2,0.0,15.7872
622,58,CA-12265,OFF-BI-10002103,2,2,23,8.69,5,0.8,-14.773
623,239,SF-20965,FUR-CH-10004853,2,1,131,301.96,2,0.0,87.5684
627,175,MO-17800,FUR-FU-10000221,2,1,21,35.56,7,0.0,12.0904
628,240,AT-10735,OFF-AP-10001563,2,2,5,97.16,2,0.0,28.1764
629,94,LC-17140,OFF-BI-10000605,2,2,9,15.24,5,0.2,5.1435
631,25,FM-14380,OFF-ST-10001963,1,2,35,243.384,3,0.2,-51.7191
634,241,BD-11605,TEC-AC-10002857,1,3,101,17.88,3,0.2,2.4585
636,242,DJ-13420,FUR-CH-10001482,1,1,132,392.94,3,0.0,43.2234
637,243,ME-17725,OFF-BI-10001989,2,2,35,18.882,3,0.7,-13.8468
639,244,RB-19465,FUR-FU-10000576,2,1,133,1049.2,5,0.0,272.792
641,122,JD-16150,FUR-FU-10000732,2,1,32,18.84,3,0.0,6.0288
642,245,JL-15835,OFF-ST-10000585,1,2,134,330.4,2,0.0,85.904
644,193,SC-20305,TEC-AC-10003832,2,3,135,132.52,4,0.0,54.3332
645,246,TW-21025,OFF-PA-10001934,2,2,136,6.48,1,0.0,3.1752
646,247,CC-12430,OFF-AP-10002457,2,2,39,209.3,2,0.0,56.511
647,178,BB-10990,OFF-FA-10003112,2,2,137,31.56,5,0.2,9.8625
649,25,AR-10825,FUR-FU-10001935,1,1,138,14.8,4,0.0,6.068
652,248,SR-20740,OFF-PA-10000482,2,2,21,379.4,10,0.0,178.318
653,249,AR-10405,OFF-PA-10003892,2,2,21,97.82,2,0.0,45.9754
655,250,CR-12730,OFF-AP-10002439,2,2,39,113.552,2,0.2,8.5164
658,251,EH-14125,FUR-CH-10001215,4,1,35,701.372,2,0.3,-50.098
660,252,CB-12025,OFF-ST-10001490,2,2,82,999.432,7,0.2,124.929
664,253,SP-20545,OFF-ST-10001522,2,2,21,459.95,5,0.0,18.398
665,254,RC-19825,OFF-FA-10000621,4,2,104,10.74,3,0.0,5.2626
666,110,TH-21235,OFF-SU-10004231,1,2,62,23.76,3,0.2,2.079
669,163,RP-19390,FUR-FU-10003096,3,1,139,30.36,5,0.2,8.7285
670,255,MO-17800,FUR-FU-10002759,2,1,23,23.976,3,0.6,-14.3856
673,140,TD-20995,OFF-AR-10001954,2,2,95,19.56,5,0.2,1.7115
674,256,RB-19570,OFF-AP-10004532,3,2,39,61.44,3,0.0,16.5888
677,257,CD-11980,OFF-AP-10000804,2,2,140,2.688,3,0.8,-7.392
681,258,DJ-13630,OFF-BI-10003305,2,2,21,14.352,3,0.2,4.6644
684,259,GT-14635,TEC-MA-10004125,4,3,141,7999.98,4,0.5,-3839.9904
686,260,MC-17845,TEC-AC-10003911,3,3,26,479.97,3,0.0,163.1898
689,53,RA-19285,FUR-BO-10004015,2,1,21,191.984,2,0.2,4.7996
690,261,NP-18325,FUR-FU-10004071,1,1,142,104.01,1,0.0,14.5614
693,262,AB-10165,TEC-AC-10002253,2,3,2,166.24,1,0.0,24.936
695,263,JO-15550,OFF-AR-10003373,3,2,143,198.272,8,0.2,17.3488
702,264,Dl-13600,FUR-FU-10002960,2,1,139,15.072,3,0.2,4.1448
703,254,AS-10285,FUR-FU-10003394,1,1,5,209.88,3,0.0,35.6796
704,265,JK-15370,FUR-TA-10002774,2,1,86,369.912,3,0.2,-13.8717
705,171,BN-11470,OFF-PA-10001800,2,2,144,10.368,2,0.2,3.6288
708,266,DP-13165,TEC-AC-10003628,3,3,21,119.96,4,0.0,52.7824
711,267,TH-21550,OFF-PA-10004071,3,2,21,55.48,1,0.0,26.6304
712,213,AP-10915,OFF-EN-10001219,2,2,145,24.448,4,0.2,8.8624
